Localtime	MD	InstrumentID	TradingDay	ActionDay	UpdateTime	UpdateMillisec	LastPrice	Volume	LastVolume	Turnover	LastTurnover	AskPrice5	AskPrice4	AskPrice3	AskPrice2	AskPrice1	BidPrice1	BidPrice2	BidPrice3	BidPrice4	BidPrice5	AskVolume5	AskVolume4	AskVolume3	AskVolume2	AskVolume1	BidVolume1	BidVolume2	BidVolume3	BidVolume4	BidVolume5	OpenInterest	UpperLimitPrice	LowerLimitPrice
20231201_21:00:20	IMMSG	pb2410	20231204	20231201	21:00:20	0	15830	0	0	0	0	16055	16020	15955	15950	15945	15520	15515	15510	15505	15490	1	2	3	4	2	5	1	1	2	2	33	16775	14880
20231201_21:00:20	IMMSG	pb2411	20231204	20231201	21:00:20	0	15810	0	0	0	0	16035	16015	15965	15960	15955	15500	15495	15490	15485	15455	1	2	1	3	4	3	1	1	4	1	62	16850	14945
20231201_21:00:20	IMMSG	rb2312	20231204	20231201	21:00:20	0	3900	120	0	4680000	0	0	0	4020	3966	3965	3791	3790	3782	3724	3721	0	0	30	30	30	30	30	30	30	30	780	4057	3670
20231201_21:00:20	IMMSG	rb2401	20231204	20231201	21:00:20	0	3921	13174	40	517183520	1568400	3925	3924	3923	3922	3921	3920	3919	3918	3917	3916	236	562	228	211	11	296	54	178	410	146	758858	4112	3721
20231201_21:00:20	IMMSG	rb2403	20231204	20231201	21:00:20	0	3933	12385	2	487709170	78650	3937	3936	3935	3934	3933	3932	3931	3930	3929	3928	2	15	11	9	22	17	14	106	9	38	980164	4126	3733
20231201_21:00:20	IMMSG	rb2405	20231204	20231201	21:00:20	0	3960	5963	80	236501020	3168900	3966	3965	3964	3963	3962	3960	3959	3958	3957	3956	76	97	9	38	834	1019	154	424	97	62	1140455	4152	3757
20231201_21:00:20	IMMSG	rb2407	20231204	20231201	21:00:20	0	3978	1012	0	40328050	0	3997	3993	3990	3984	3983	3979	3978	3976	3975	3973	1	1	55	6	8	2	9	2	5	1	110017	4168	3771
20231201_21:00:20	IMMSG	rb2409	20231204	20231201	21:00:20	0	3964	2000	0	79280000	0	3966	3965	3964	3963	3960	3956	3949	3946	3945	3941	40	2	1	1	1	1	1	2	2	40	20120	4148	3753
20231201_21:00:20	IMMSG	rb2410	20231204	20231201	21:00:20	0	3941	87	2	3431190	78820	3952	3949	3944	3942	3941	3938	3937	3936	3935	3934	1	10	1	8	30	1	1	19	19	1	40584	4131	3738
20231201_21:00:20	IMMSG	ru2401	20231204	20231201	21:00:20	0	13425	2845	58	382266000	7783650	13445	13440	13435	13430	13425	13420	13415	13410	13405	13400	32	62	45	76	50	31	65	38	47	95	78617	14355	12730
